model,family,metric_name,block,reading_bin,reading_phase,raw_spearman_rho,length_controlled_spearman_rho,n_programs,status
Qwen,Hidden-state shift,fixed_v8_composite_3,3,0,early,0.0208944281524926,0.1389296187683284,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,3,1,early,-0.1686217008797653,-0.0146627565982404,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,3,2,early,-0.0619501466275659,0.0777126099706744,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,3,3,early,0.0117302052785923,0.187316715542522,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,3,4,middle,-0.0421554252199413,0.0161290322580645,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,3,5,middle,0.0663489736070381,0.2639296187683284,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,3,6,middle,0.0520527859237536,0.1436950146627565,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,3,7,middle,0.0817448680351906,0.159090909090909,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,3,8,late,-0.0135630498533724,0.1759530791788856,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,3,9,late,-0.0197947214076246,0.0498533724340175,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,3,10,late,-0.0975073313782991,0.1063049853372434,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,3,11,late,-0.0120967741935483,0.0722140762463343,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,4,0,early,-0.0692815249266862,0.1653225806451612,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,4,1,early,-0.2851906158357771,-0.0095307917888563,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,4,2,early,-0.1535923753665689,0.0579178885630498,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,4,3,early,-0.1048387096774193,0.1862170087976539,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,4,4,middle,-0.1510263929618768,-0.0102639296187683,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,4,5,middle,-0.0414222873900293,0.2888563049853372,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,4,6,middle,-0.06341642228739,0.1359970674486803,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,4,7,middle,-0.0172287390029325,0.1865835777126099,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,4,8,late,-0.1231671554252199,0.2041788856304985,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,4,9,late,-0.1165689149560117,0.0813782991202346,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,4,10,late,-0.2360703812316715,0.1561583577712609,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,4,11,late,-0.1081378299120234,0.1041055718475073,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,5,0,early,-0.0850439882697947,0.1700879765395894,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,5,1,early,-0.3757331378299119,-0.0194281524926686,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,5,2,early,-0.1620234604105571,0.0975073313782991,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,5,3,early,-0.1528592375366569,0.1953812316715542,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,5,4,middle,-0.1704545454545454,0.0344574780058651,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,5,5,middle,-0.1077712609970674,0.314149560117302,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,5,6,middle,-0.1140029325513196,0.1392961876832844,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,5,7,middle,-0.064149560117302,0.2155425219941348,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,5,8,late,-0.1766862170087976,0.187316715542522,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,5,9,late,-0.1411290322580645,0.0828445747800586,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,5,10,late,-0.2936217008797654,0.1418621700879765,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,5,11,late,-0.1660557184750733,0.1037390029325513,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,6,0,early,-0.0876099706744867,0.2261730205278592,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,6,1,early,-0.3720674486803519,-0.0172287390029325,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,6,2,early,-0.157991202346041,0.1367302052785923,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,6,3,early,-0.1510263929618768,0.2096774193548386,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,6,4,middle,-0.1675219941348973,0.0663489736070381,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,6,5,middle,-0.1143695014662756,0.314516129032258,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,6,6,middle,-0.1473607038123167,0.1381964809384163,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,6,7,middle,-0.0590175953079178,0.2228739002932551,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,6,8,late,-0.1957478005865102,0.1491935483870967,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,6,9,late,-0.1704545454545454,0.06524926686217,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,6,10,late,-0.3027859237536657,0.1158357771260997,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,6,11,late,-0.1748533724340175,0.1125366568914955,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,7,0,early,-0.0421554252199413,0.2093108504398826,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,7,1,early,-0.2866568914956011,0.0304252199413489,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,7,2,early,-0.1121700879765395,0.1407624633431085,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,7,3,early,-0.0700146627565982,0.2151759530791788,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,7,4,middle,-0.1066715542521994,0.0608504398826979,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,7,5,middle,-0.0491202346041055,0.2903225806451612,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,7,6,middle,-0.1066715542521994,0.1132697947214076,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,7,7,middle,-0.0040322580645161,0.1645894428152492,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,7,8,late,-0.1645894428152492,0.0920087976539589,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,7,9,late,-0.1414956011730205,0.0447214076246334,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,7,10,late,-0.2104105571847507,0.1297653958944281,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,7,11,late,-0.1030058651026392,0.1392961876832844,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,8,0,early,-0.1176686217008797,0.1532258064516128,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,8,1,early,-0.3244134897360703,0.0516862170087976,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,8,2,early,-0.1121700879765395,0.1964809384164222,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,8,3,early,-0.1195014662756598,0.2430351906158357,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,8,4,middle,-0.1484604105571847,0.094574780058651,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,8,5,middle,-0.0978739002932551,0.282624633431085,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,8,6,middle,-0.1359970674486803,0.1378299120234604,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,8,7,middle,-0.0373900293255131,0.1796187683284457,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,8,8,late,-0.1348973607038123,0.1821847507331378,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,8,9,late,-0.1550586510263929,0.0887096774193548,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,8,10,late,-0.2294721407624632,0.1825513196480938,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,8,11,late,-0.1286656891495601,0.1158357771260997,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,9,0,early,-0.2126099706744868,0.0439882697947214,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,9,1,early,-0.3870967741935483,-0.0447214076246334,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,9,2,early,-0.222140762463343,0.064149560117302,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,9,3,early,-0.2349706744868035,0.1209677419354838,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,9,4,middle,-0.2401026392961876,-0.0557184750733137,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,9,5,middle,-0.2060117302052785,0.2005131964809384,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,9,6,middle,-0.2038123167155424,0.0179618768328445,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,9,7,middle,-0.1242668621700879,0.1044721407624633,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,9,8,late,-0.1807184750733137,0.1304985337243401,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,9,9,late,-0.2269061583577712,-0.0032991202346041,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,9,10,late,-0.347507331378299,0.0740469208211143,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,9,11,late,-0.1939149560117301,0.0509530791788856,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,10,0,early,-0.1979472140762463,0.0505865102639296,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,10,1,early,-0.3214809384164222,0.032258064516129,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,10,2,early,-0.1605571847507331,0.1308651026392961,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,10,3,early,-0.2261730205278592,0.159457478005865,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,10,4,middle,-0.1920821114369501,-0.000733137829912,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,10,5,middle,-0.1638563049853372,0.2283724340175953,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,10,6,middle,-0.1620234604105571,0.0557184750733137,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,10,7,middle,-0.0773460410557184,0.1645894428152492,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,10,8,late,-0.095674486803519,0.2137096774193548,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,10,9,late,-0.1741202346041055,0.0725806451612903,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,10,10,late,-0.316348973607038,0.1246334310850439,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,10,11,late,-0.126466275659824,0.1301319648093841,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,11,0,early,-0.1649560117302052,0.0058651026392961,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,11,1,early,-0.3251466275659824,0.0593841642228738,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,11,2,early,-0.1440615835777126,0.1649560117302052,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,11,3,early,-0.2030791788856304,0.1433284457478005,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,11,4,middle,-0.1697214076246334,-0.0135630498533724,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,11,5,middle,-0.159457478005865,0.2085777126099706,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,11,6,middle,-0.1367302052785923,0.0901759530791788,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,11,7,middle,-0.0714809384164222,0.1510263929618768,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,11,8,late,-0.0971407624633431,0.2283724340175953,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,11,9,late,-0.1510263929618768,0.1019061583577712,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,11,10,late,-0.3299120234604105,0.0685483870967741,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,11,11,late,-0.1195014662756598,0.1169354838709677,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,12,0,early,-0.1623900293255131,0.0164956011730205,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,12,1,early,-0.3130498533724339,0.0810117302052785,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,12,2,early,-0.1286656891495601,0.1807184750733137,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,12,3,early,-0.2104105571847507,0.1319648093841642,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,12,4,middle,-0.157624633431085,0.0238269794721407,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,12,5,middle,-0.1411290322580645,0.2415689149560117,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,12,6,middle,-0.1173020527859237,0.1107038123167155,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,12,7,middle,-0.0744134897360703,0.1521260997067448,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,12,8,late,-0.0857771260997067,0.249633431085044,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,12,9,late,-0.1491935483870967,0.1125366568914955,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,12,10,late,-0.3258797653958943,0.0894428152492668,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,12,11,late,-0.127565982404692,0.1337976539589442,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,13,0,early,-0.1653225806451612,0.0476539589442815,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,13,1,early,-0.3244134897360703,0.0806451612903225,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,13,2,early,-0.1367302052785923,0.1862170087976539,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,13,3,early,-0.219208211143695,0.1246334310850439,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,13,4,middle,-0.1741202346041055,0.0069648093841642,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,13,5,middle,-0.1675219941348973,0.2551319648093841,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,13,6,middle,-0.1334310850439882,0.1235337243401759,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,13,7,middle,-0.0912756598240469,0.1649560117302052,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,13,8,late,-0.1074046920821114,0.2371700879765395,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,13,9,late,-0.1433284457478005,0.1319648093841642,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,13,10,late,-0.3387096774193548,0.0810117302052785,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,13,11,late,-0.125,0.1228005865102639,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,14,0,early,-0.1063049853372434,0.128299120234604,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,14,1,early,-0.2749266862170087,0.1326979472140762,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,14,2,early,-0.0920087976539589,0.2921554252199413,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,14,3,early,-0.1777859237536656,0.2173753665689149,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,14,4,middle,-0.128299120234604,0.0989736070381231,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,14,5,middle,-0.1085043988269794,0.3346774193548387,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,14,6,middle,-0.1022727272727272,0.1741202346041055,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,14,7,middle,-0.0491202346041055,0.2261730205278592,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,14,8,late,-0.0615835777126099,0.3170821114369501,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,14,9,late,-0.0978739002932551,0.2401026392961876,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,14,10,late,-0.3079178885630498,0.159457478005865,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,14,11,late,-0.0872434017595307,0.2188416422287389,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,15,0,early,-0.0703812316715542,0.1722873900293255,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,15,1,early,-0.252199413489736,0.1642228739002932,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,15,2,early,-0.0604838709677419,0.3104838709677419,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,15,3,early,-0.1359970674486803,0.2613636363636363,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,15,4,middle,-0.0865102639296187,0.1077712609970674,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,15,5,middle,-0.0846774193548387,0.3229472140762462,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,15,6,middle,-0.0450879765395894,0.2291055718475072,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,15,7,middle,-0.0216275659824046,0.2382697947214076,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,15,8,late,-0.033357771260997,0.3068181818181817,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,15,9,late,-0.0608504398826979,0.2609970674486803,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,15,10,late,-0.2752932551319648,0.1370967741935483,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,15,11,late,-0.0575513196480938,0.2236070381231671,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,16,0,early,-0.0740469208211143,0.1554252199413489,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,16,1,early,-0.2283724340175953,0.2613636363636363,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,16,2,early,-0.0443548387096774,0.4310850439882697,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,16,3,early,-0.1407624633431085,0.2906891495601172,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,16,4,middle,-0.0674486803519061,0.2584310850439882,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,16,5,middle,-0.0692815249266862,0.4314516129032257,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,16,6,middle,-0.0370234604105571,0.3027859237536657,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,16,7,middle,-0.0249266862170087,0.3002199413489735,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,16,8,late,-0.0307917888563049,0.4050586510263929,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,16,9,late,-0.0531524926686217,0.3310117302052786,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,16,10,late,-0.2679618768328445,0.2382697947214076,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,16,11,late,-0.0553519061583577,0.3020527859237536,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,17,0,early,-0.0887096774193548,0.158357771260997,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,17,1,early,-0.249633431085044,0.2239736070381231,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,17,2,early,-0.0557184750733137,0.37866568914956,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,17,3,early,-0.1660557184750733,0.2437683284457477,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,17,4,middle,-0.0909090909090909,0.2415689149560117,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,17,5,middle,-0.0982404692082111,0.375,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,17,6,middle,-0.0458211143695014,0.2862903225806451,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,17,7,middle,-0.0410557184750733,0.253299120234604,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,17,8,late,-0.0678152492668621,0.3225806451612903,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,17,9,late,-0.0799120234604105,0.2664956011730205,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,17,10,late,-0.2921554252199413,0.1840175953079178,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,17,11,late,-0.0623167155425219,0.2749266862170087,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,18,0,early,-0.1088709677419354,0.1829178885630498,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,18,1,early,-0.2642961876832844,0.2793255131964808,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,18,2,early,-0.0692815249266862,0.4347507331378298,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,18,3,early,-0.1917155425219941,0.2624633431085044,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,18,4,middle,-0.1136363636363636,0.2353372434017595,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,18,5,middle,-0.1147360703812316,0.4563782991202345,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,18,6,middle,-0.0876099706744867,0.2811583577712609,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,18,7,middle,-0.064882697947214,0.2642961876832844,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,18,8,late,-0.063049853372434,0.3566715542521994,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,18,9,late,-0.1048387096774193,0.2774926686217008,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,18,10,late,-0.2903225806451612,0.2342375366568914,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,18,11,late,-0.0898093841642228,0.3214809384164222,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,19,0,early,-0.126099706744868,0.1682551319648093,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,19,1,early,-0.2708944281524926,0.2917888563049853,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,19,2,early,-0.0740469208211143,0.4497800586510263,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,19,3,early,-0.1825513196480938,0.3093841642228738,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,19,4,middle,-0.1030058651026392,0.2789589442815249,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,19,5,middle,-0.1253665689149559,0.4556451612903225,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,19,6,middle,-0.0934750733137829,0.3079178885630498,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,19,7,middle,-0.0810117302052785,0.2910557184750733,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,19,8,late,-0.0843108504398826,0.3493401759530791,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,19,9,late,-0.1011730205278592,0.3266129032258064,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,19,10,late,-0.2543988269794721,0.3115835777126099,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,19,11,late,-0.0854105571847507,0.3365102639296187,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,20,0,early,-0.1235337243401759,0.1088709677419354,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,20,1,early,-0.251466275659824,0.31341642228739,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,20,2,early,-0.0472873900293255,0.4431818181818181,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,20,3,early,-0.1777859237536656,0.2994868035190616,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,20,4,middle,-0.096774193548387,0.2752932551319648,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,20,5,middle,-0.1392961876832844,0.3896627565982404,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,20,6,middle,-0.0524193548387096,0.2947214076246334,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,20,7,middle,-0.0604838709677419,0.2848240469208211,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,20,8,late,-0.0557184750733137,0.3357771260997067,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,20,9,late,-0.0795454545454545,0.3200146627565982,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,20,10,late,-0.2463343108504398,0.315615835777126,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,20,11,late,-0.0612170087976539,0.3504398826979471,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,21,0,early,-0.1367302052785923,0.0619501466275659,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,21,1,early,-0.1726539589442815,0.3515395894428151,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,21,2,early,0.0113636363636363,0.4292521994134897,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,21,3,early,-0.0909090909090909,0.315982404692082,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,21,4,middle,-0.0245601173020527,0.2613636363636363,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,21,5,middle,-0.06524926686217,0.4369501466275659,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,21,6,middle,-0.0047653958944281,0.2866568914956011,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,21,7,middle,0.0509530791788856,0.37683284457478,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,21,8,late,-0.002565982404692,0.4032258064516129,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,21,9,late,-0.0469208211143695,0.2675953079178885,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,21,10,late,-0.1928152492668621,0.3053519061583578,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,21,11,late,0.0175953079178885,0.3299120234604105,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,22,0,early,-0.0846774193548387,0.0835777126099706,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,22,1,early,-0.1836510263929618,0.2595307917888563,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,22,2,early,0.0799120234604105,0.4241202346041055,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,22,3,early,-0.1022727272727272,0.2811583577712609,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,22,4,middle,-0.0289589442815249,0.2166422287390029,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,22,5,middle,-0.0817448680351906,0.2947214076246334,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,22,6,middle,-0.0095307917888563,0.2324046920821113,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,22,7,middle,0.0546187683284457,0.3574046920821114,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,22,8,late,-0.0036656891495601,0.4087243401759531,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,22,9,late,0.0054985337243401,0.2921554252199413,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,22,10,late,-0.1968475073313782,0.2397360703812316,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,22,11,late,0.032624633431085,0.2991202346041055,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,23,0,early,0.0285923753665689,0.1983137829912023,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,23,1,early,-0.094208211143695,0.2474340175953078,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,23,2,early,0.1711876832844574,0.4420821114369501,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,23,3,early,-0.0098973607038123,0.2705278592375366,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,23,4,middle,0.0348240469208211,0.2408357771260997,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,23,5,middle,-0.001466275659824,0.2899560117302052,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,23,6,middle,0.0898093841642228,0.2628299120234604,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,23,7,middle,0.1246334310850439,0.3394428152492668,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,23,8,late,0.0597507331378299,0.3618035190615835,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,23,9,late,0.1059384164222873,0.3247800586510263,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,23,10,late,-0.1293988269794721,0.2181085043988269,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,23,11,late,0.1407624633431085,0.3310117302052786,32,available
Qwen,Hidden-state shift,fixed_v8_composite_3,24,0,early,0.0425219941348973,0.2272727272727272,32,available
