model,family,metric_name,block,reading_bin,reading_phase,raw_spearman_rho,length_controlled_spearman_rho,n_programs,status
Qwen,Expert-choice confidence,fixed_v8_composite_1,4,0,early,-0.2448680351906158,-0.031891495601173,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,4,1,early,-0.4637096774193548,-0.2126099706744868,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,4,2,early,-0.3053519061583578,-0.0799120234604105,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,4,3,early,-0.2730938416422287,0.0175953079178885,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,4,4,middle,-0.4006598240469208,-0.1986803519061583,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,4,5,middle,-0.2232404692082111,-0.0388563049853372,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,4,6,middle,-0.2587976539589443,-0.0414222873900293,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,4,7,middle,-0.2862903225806451,-0.0857771260997067,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,4,8,late,-0.4076246334310849,-0.1429618768328445,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,4,9,late,-0.2928885630498533,-0.0729472140762463,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,4,10,late,-0.4061583577712609,-0.126466275659824,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,4,11,late,-0.3731671554252199,-0.1741202346041055,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,5,0,early,0.001466275659824,0.1840175953079178,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,5,1,early,-0.0890762463343108,0.344208211143695,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,5,2,early,0.0304252199413489,0.3108504398826979,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,5,3,early,-0.0120967741935483,0.3607038123167155,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,5,4,middle,-0.0172287390029325,0.2554985337243401,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,5,5,middle,-0.034090909090909,0.3533724340175952,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,5,6,middle,0.1477272727272727,0.4277859237536656,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,5,7,middle,0.1524926686217008,0.4288856304985337,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,5,8,late,0.0348240469208211,0.3907624633431084,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,5,9,late,0.0733137829912023,0.3225806451612903,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,5,10,late,-0.0381231671554252,0.4024926686217009,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,5,11,late,0.1030058651026392,0.4024926686217009,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,6,0,early,-0.25183284457478,0.0216275659824046,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,6,1,early,-0.3229472140762462,0.1011730205278592,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,6,2,early,-0.2401026392961876,0.0542521994134897,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,6,3,early,-0.1854838709677419,0.1484604105571847,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,6,4,middle,-0.3379765395894428,-0.1220674486803519,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,6,5,middle,-0.2983870967741935,0.0373900293255131,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,6,6,middle,-0.2034457478005865,0.0901759530791788,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,6,7,middle,-0.2093108504398826,0.0065982404692082,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,6,8,late,-0.2569648093841642,0.0252932551319648,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,6,9,late,-0.0865102639296187,0.1997800586510264,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,6,10,late,-0.2254398826979472,0.1532258064516128,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,6,11,late,-0.187316715542522,0.1052052785923753,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,7,0,early,-0.032991202346041,0.0546187683284457,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,7,1,early,-0.0172287390029325,0.2001466275659824,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,7,2,early,0.0252932551319648,0.1664222873900293,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,7,3,early,0.0359237536656891,0.221041055718475,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,7,4,middle,0.032258064516129,0.125,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,7,5,middle,0.0678152492668621,0.189882697947214,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,7,6,middle,-0.0128299120234604,0.0861436950146627,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,7,7,middle,-0.0212609970674486,0.0252932551319648,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,7,8,late,0.1345307917888563,0.2368035190615835,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,7,9,late,0.0421554252199413,0.1664222873900293,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,7,10,late,0.0597507331378299,0.2807917888563049,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,7,11,late,0.0399560117302052,0.2111436950146627,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,8,0,early,-0.3031524926686216,-0.1781524926686216,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,8,1,early,-0.2155425219941348,0.1678885630498533,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,8,2,early,-0.1851173020527859,0.0861436950146627,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,8,3,early,-0.1063049853372434,0.190615835777126,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,8,4,middle,-0.2236070381231671,-0.033357771260997,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,8,5,middle,-0.2324046920821113,-0.0102639296187683,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,8,6,middle,-0.1524926686217008,0.0120967741935483,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,8,7,middle,-0.1359970674486803,0.0120967741935483,32,available
