program_id,median_reading_time_s,global_theta_mean_z,qwen_hidden_cosine_distance_b41,qwen_router_difficulty_score_oof,glm_router_difficulty_score_oof
P01,62.56000000000017,0.0593163971568904,0.3608717024326324,3.963412662693962,3.229304536560769
P02,24.639999999999983,-0.2257741559115616,0.3156949579715729,3.22448031950522,3.4933540236220644
P03,49.600000000000136,0.0912381266397985,0.3818735778331756,3.847210172990215,4.467243594439297
P04,71.11999999999989,-0.1870054963981319,0.3763644695281982,3.946818879884929,3.782432729145956
P05,66.34000000000015,0.2443626417125462,0.352421373128891,3.845445674107668,3.546008732307984
P06,69.46000000000004,0.1387101165625161,0.3659275472164154,4.180698638900891,3.938815190997008
P07,29.17999999999984,0.0353476318030186,0.3324523568153381,3.498879887852664,4.005748308118993
P08,48.37999999999994,0.0684155688773581,0.3795322477817535,4.463957634986945,4.086970601323478
P09,48.809999999999945,0.3515562539150577,0.3483298718929291,3.910559018824835,3.7902771787956353
P10,56.61000000000013,-0.0945503128933695,0.3226245939731598,3.774163020295511,3.7177911478678127
P11,70.78000000000003,0.2693769504752647,0.375194638967514,4.336997318619457,4.182097744488772
P12,38.95000000000008,-0.0065212325123236,0.3258451521396637,3.778674378043946,3.993740905156192
P13,102.74,-0.0091447779977064,0.3643325269222259,4.431753141108048,3.898181644626324
P14,60.36000000000013,0.185491517965029,0.3418517112731933,4.009988554029033,4.033364888850454
P15,102.40000000000008,0.3336427284666192,0.3361030519008636,4.638131891149681,4.492269881964728
P16,17.32000000000002,-0.1105808513716267,0.2988805472850799,2.8688582464588936,3.405850605839487
P17,62.08,0.1403265146553075,0.345047116279602,3.9915364506724686,4.005974981088386
P18,42.749999999999886,0.4673426584965575,0.394049197435379,3.6652924097414896,3.5961622537126123
P19,24.819999999999936,-0.2834321526641803,0.336342841386795,3.2910951102465207,3.5964029792704224
P20,137.24000000000024,0.2999141033725467,0.379706859588623,4.693996534368214,4.322407010212032
P21,32.51999999999998,-0.1273130306098449,0.3358547985553741,3.690951961191797,3.2244687300020245
P22,83.5,-0.2681743021568085,0.3877831995487213,3.737569444272615,3.752035370202703
P23,20.69999999999981,-0.2883111401707001,0.3054834604263305,2.9998785980254423,3.891768285806973
P24,21.90000000000009,-0.2320372305271694,0.3243034780025482,3.4921034312129087,3.37830139726598
P25,36.31999999999971,-0.3049684676737385,0.3281864523887634,3.596046764805977,3.781034746458541
P26,35.840000000000146,-0.1767979544973902,0.3304385840892792,3.4094050786358503,3.5390639240113906
P27,31.479999999999905,-0.0057222449696645,0.3578054010868072,3.774795800685299,3.270018965277457
P28,98.76,0.1234073350645637,0.34499391913414,4.765231767362744,4.307436762313782
P29,25.140000000000327,-0.3651599546768687,0.3173953294754028,3.515240825793844,3.751294486076183
P30,24.52000000000004,-0.1158129125812506,0.3123744428157806,3.175372549707458,2.7051281795174207
P31,12.480000000000018,-0.6032721480042453,0.2870889008045196,2.353906517081527,3.291872892762048
P32,33.139999999999986,-0.0380592185824166,0.3182006478309631,3.640635563890456,3.983257727378954
