region_id,program_id,semantic_type,human_attention,human_regression,eeg_theta,qwen_hidden,qwen_moe_write,qwen_integration,qwen_confidence,qwen_choice_change,qwen_residual,glm_hidden,glm_moe_write,glm_integration,glm_confidence,glm_choice_change,glm_residual,human_attention_heatmap_z,qwen_integration_heatmap_z,glm_integration_heatmap_z
R001,P03,condition / branch,-0.161504972448938,0.0926836235920843,0.4812083993730574,2.553632831545684,1.9957691559179385,2.217185194913497,3.788370971406106,1.630930503999663,2.102153597276868,0.0560389604982031,1.3420534008623233,0.645213836134523,2.764933457175952,-0.596942914488665,0.5375491470430424,-0.1683888947939418,2.6201362452478936,1.08933292346473
R002,P04,condition / branch,2.090427746783917,2.293541659830564,0.4234270462024805,2.326820224905929,3.137598637708847,2.902078935773607,3.651032248288139,0.4347536264050922,3.241817944706044,0.1372311814524227,1.956545729014503,1.1420754214591389,3.0968758030034134,-1.405915481356407,1.33244935391049,2.179529289965515,3.42950251681052,1.9281985103244272
R003,P07,condition / branch,-0.825216951037563,-0.8161676961215154,0.3816565964902913,-0.5985015635902036,-0.9949179212833666,-0.7670598601353852,-0.1706056060396446,-0.9369910124351982,-0.7077600955325851,0.8394283516442356,0.0846789119621714,0.5078774418253738,0.3775931418492681,-0.3183745296985805,0.5995250618697142,-0.8603906631690547,-0.9064652544254042,0.8574639716034768
R004,P08,condition / branch,-0.4115188716662669,-0.3962172498393536,-0.443215847146884,-1.3987495304582034,-0.8407272246563641,-0.5503937589283792,-0.8696611807203103,-2.22008557466815,0.5882954783294301,-0.821137619148108,-0.0264566053264257,-0.3115236429464432,-0.4849055484826095,-0.5790721625271513,-0.0869767043647959,-0.4290592848999823,-0.6504222742578529,-0.5259542522093053
R005,P08,condition / branch,-0.6749274347343808,-0.5418344677966277,-0.5897059457431234,1.1951683482714013,0.515346714610847,0.5630679155392156,-0.9077621301568608,1.8755852755759683,-0.0213113162646011,0.3951628465496917,0.3531431716820539,0.321199178274137,-0.5650668345819637,0.4906226079026312,0.2152915165906654,-0.7036952675680916,0.6653998310222514,0.5422897344856143
R006,P10,condition / branch,0.1164645383422692,0.6240953139496358,1.573969505818592,-0.9166363984942748,0.8122349274621719,0.0439239960562591,1.1375583952705426,-0.7015187554815789,0.2361734592008805,-0.5457908873666978,0.4369984581978507,0.3351017171712572,0.2415400143606617,-0.2267621131662682,1.1140975806826188,0.1214286755185929,0.0519067393951367,0.5657617874581803
R007,P10,condition / branch,-0.3416772568742985,-0.1021050646730413,-0.6049473686678265,2.411147788412768,1.6978283752135708,2.164068350734628,0.9868248758975706,1.035123126286842,2.383228888577545,-0.3040366207342103,-0.2596740844584203,-0.3225493943040692,-0.8900878346014888,1.1212063024331786,-0.403937477719577,-0.3562407694876346,2.5573659502876342,-0.5445693427221717
R008,P10,condition / branch,-0.3924795190877353,-0.339112845096949,-1.2870261393153966,-0.4178797698251105,0.2784528073718556,0.3776944545073815,0.8160991990643678,-0.702017951108507,1.2725103259753994,-0.6785450222516748,-0.400259824051705,-0.5050714770876475,-0.7463493256396565,0.684648353920593,-0.4364095849595628,-0.4092084066906148,0.4463366128162025,-0.852726581300131
R009,P10,condition / branch,-0.4528005076429993,-0.3101888920889204,-0.4936272597286438,0.7558500521190051,1.2092061438484234,1.5497870725536884,0.469174871753288,-0.1558642718189632,2.684305021693637,-0.4589531008957045,-0.444391795808629,-0.7620757751844641,-0.8199354057223261,0.7663434505662393,-1.3828824288490589,-0.4721004925606664,1.8314452444162972,-1.2866342685035952
R010,P10,condition / branch,-0.6432410387088158,-0.5208433378007868,1.213197336899135,-0.088400726328896,-0.1354769608676435,0.4404444765865801,0.9685013382806892,-0.412936751006147,1.54521111695628,-0.3254572598070794,-0.153792614469862,-0.5245898345579926,-0.7808918315666729,0.6923072327819169,-1.0945196293970365,-0.6706582834688252,0.5204908186159704,-0.8856799809540833
R011,P11,condition / branch,0.4445579289856721,0.6501146705928655,0.1236019620315164,-0.1864238799736669,-0.4225788968453071,-0.1741366432319433,1.0440777970733115,0.0149915290802422,0.086592847123144,-0.3169946987144682,1.1860602515290677,0.3273189271817843,1.884228597692996,-1.3798539471084272,0.1128912287307537,0.4635065855786489,-0.2057842220868775,0.5526218811245893
R012,P11,condition / branch,0.5718764486139896,0.590621735580279,-0.1280193512673451,-0.2253650419915621,0.4999384489037174,0.616332838652609,1.045373368933909,-0.2386931167306487,1.5744251090456718,-0.2277104443634401,0.7540653621789796,-0.001819760219855,0.8231217527613666,0.043852671782762,-0.5318141984751047,0.5962518780729181,0.7283451167701067,-0.0030723530855672
R013,P13,condition / branch,-0.9641326129882672,-1.4086517764269355,-2.536076289354704,0.529067101376277,0.8533519752917224,0.6005896309957853,-0.1874609355396618,1.8543533409515225,0.4193498163193566,0.5484107732454819,-0.6609380854592731,-0.0721288997159668,-0.3507210917551617,0.8003830382186884,-0.1038593869341093,-1.0052274098694918,0.7097407398814557,-0.1217772787772417
R014,P14,condition / branch,0.0479042966949291,0.0285164214101059,0.0211950473645321,-0.7018780453155318,-0.8518836649463235,-0.6216138660472214,-0.6972170738546358,-0.4874349063986772,-0.3110798878798085,-0.9184497481374224,0.1756045269702549,-0.5673098848650414,-0.0248927066229816,-0.5160988372262879,-0.9590844334279566,0.0499461499793175,-0.7345859176380336,-0.957805460423552
R015,P14,condition / branch,-0.4695195414823194,-0.864556433646992,-1.5700753456238945,1.0209862698554086,1.4125160742542442,1.0368824820389442,-0.5104217606004662,1.4219248495973449,0.67714510200718,1.505218933775687,-0.8020837844654822,0.5159801437026302,0.5843370723618351,1.175669705522853,0.8448052817976862,-0.4895321517073574,1.225325416877876,0.8711439943022997
R016,P15,condition / branch,-1.104901571570639,-1.0047372803999155,2.0992724267624467,-1.1675485887820067,-0.8190010492945394,-0.9860239789244892,-0.7289934875394201,-0.5615585030435502,-0.971522298696922,-0.190338483629033,-0.3138623158805829,-0.2559211933488256,-0.3629498202053209,-0.1571937571301819,-0.2635627805368608,-1.1519964473644462,-1.165223893696618,-0.4320790505632193
R017,P15,condition / branch,-1.0907978598950143,-1.0438678573443323,-1.9069295056387912,-0.3419771276949603,-1.3075845793833136,-0.6664102408903307,-0.757823060048653,-0.4799189013798728,-0.3496690155927183,-0.2403786382426137,-0.0877006762337074,-0.3199664602519378,-0.5853457296496498,-0.3148396834257769,-0.6318200662794922,-1.1372915848110554,-0.7875235818671694,-0.5402085014869904
R018,P17,condition / branch,-0.7413966704299453,-0.681484460449507,0.2837680990104361,-0.4721071197770386,-0.8901816464794954,-0.3389800262400138,0.2006961949731711,-1.061082441398269,0.3453486875364924,-0.285487267071051,0.964163859311854,0.286530128480349,0.324892977859021,-0.6233236238715587,0.1809137932002439,-0.7729976609672352,-0.4005862276205547,0.4837569888274177
