model,benchmark,delta_pass_pp,ci_low_pp,ci_high_pp,dynamic_only,regular_only,both_correct,both_wrong,mcnemar_p,original_family_bh_q
qwen,lcb,10.857142857142858,5.714285714285714,16.0,21,2,31,121,6.604194641113281e-05,0.0013208389282226562
qwen,bcb,1.3636363636363635,-3.1818181818181817,5.909090909090909,14,11,69,126,0.6900379657745361,0.8118093714994543
glm,lcb,6.2857142857142865,2.2857142857142856,10.285714285714285,12,1,30,132,0.00341796875,0.022125244140625
glm,bcb,3.1818181818181817,-3.1818181818181817,9.545454545454547,29,22,41,128,0.4010619910279374,0.5347493213705832
