model,benchmark,mean_selected_blocks,regular_blocks,eligible_parameters,installed_parameters,adaptation_reduction_percent,dynamic_training_s,regular_training_s,time_reduction_percent,dynamic_gpu_wh,regular_gpu_wh,energy_reduction_percent,measurement_kind
qwen,lcb,6.254681647940075,48.0,3381731.2359550563,25952256,86.96941323345817,1883.7762514760252,1944.8194512599148,3.138759217177922,188.10419025051124,192.8122360371513,2.4417774947296023,reused historical instrumented training replica
qwen,bcb,6.139473684210526,48.0,3319441.515789474,25952256,87.2094298245614,2201.152374470141,2304.365492435172,4.479025497641842,190.0186170037682,197.03614335473833,3.5615426852605214,new instrumented training replica
glm,lcb,6.093632958801498,47.0,3485768.8689138577,27061248,87.1189648425902,1608.028715658933,1649.7869423516095,2.5311284518444666,168.9923867996867,172.65686797982562,2.122406842551494,new instrumented training replica
glm,bcb,6.552631578947368,47.0,3732625.515789474,27061248,86.20675027334485,1888.4222693988122,2006.2152806003578,5.871404347308939,173.9973700321288,182.28276215657422,4.545351423481603,new instrumented training replica
